Augmented Data,RBF SVM,Naive Bayes,Neural Net
Original + -4-pitch,0.764,0.728,0.669
Original + 0.8-Speed 0.9-Speed,0.746,0.718,0.677
Original + 0.8-Speed,0.752,0.715,0.653
Original + 0.8-Speed 1.1-Speed,0.768,0.713,0.675
Original + 0.8-Speed 0.9-Speed 1.1-Speed,0.755,0.713,0.666
Original + 1.2-Speed,0.77,0.712,0.659
Original + -3-pitch 1-pitch,0.76,0.712,0.693
Original + 0.8-Speed 0.9-Speed 1.2-Speed,0.753,0.71,0.649
Original + 1-pitch,0.734,0.71,0.669
Original + -4-pitch -3-pitch,0.777,0.71,0.673
Original + -4-pitch -1-pitch,0.768,0.71,0.653
Original + -3-pitch,0.785,0.709,0.662
Original + -4-pitch -2-pitch,0.774,0.709,0.638
Original + -2-pitch 1-pitch,0.733,0.709,0.664
Original + 0.9-Speed 1.1-Speed,0.749,0.707,0.684
Original + 0.9-Speed 1.1-Speed 1.2-Speed,0.754,0.707,0.67
Original + -3-pitch -2-pitch,0.779,0.707,0.699
Original + -4-pitch -3-pitch -2-pitch -1-pitch,0.765,0.707,0.686
Original + 0.9-Speed,0.745,0.706,0.655
Original + 0.8-Speed 0.9-Speed 1.1-Speed 1.2-Speed,0.75,0.705,0.667
Original + -4-pitch 1-pitch,0.764,0.705,0.673
Original + -3-pitch 2-pitch,0.748,0.705,0.681
Original + -4-pitch -3-pitch -2-pitch,0.772,0.705,0.677
Original + -1-pitch 1-pitch 2-pitch,0.742,0.705,0.664
Original + -3-pitch -2-pitch -1-pitch,0.768,0.704,0.697
Original + -2-pitch 1-pitch 2-pitch,0.727,0.704,0.685
Original + 1.1-Speed,0.765,0.703,0.699
Original + 0.9-Speed 1.2-Speed,0.75,0.703,0.648
Original + -1-pitch 1-pitch,0.741,0.703,0.682
Original + -3-pitch -1-pitch 1-pitch,0.743,0.703,0.661
Original + -3-pitch 3-pitch,0.749,0.702,0.668
Original + -2-pitch -1-pitch,0.747,0.702,0.699
Original + -2-pitch -1-pitch 1-pitch,0.733,0.702,0.661
Original + -4-pitch -3-pitch 1-pitch 2-pitch,0.753,0.702,0.656
Original + -4-pitch -3-pitch 1-pitch 3-pitch,0.747,0.702,0.668
Original + 0.8-Speed 1.2-Speed,0.757,0.701,0.668
Original + 0.8-Speed 1.1-Speed 1.2-Speed,0.752,0.701,0.678
Original + -4-pitch -3-pitch 2-pitch,0.754,0.701,0.685
Original + -4-pitch -2-pitch 1-pitch,0.75,0.701,0.652
Original + -3-pitch -2-pitch 1-pitch,0.753,0.701,0.667
Original + -2-pitch 1-pitch 3-pitch,0.744,0.701,0.664
Original + -4-pitch -3-pitch -1-pitch,0.769,0.7,0.681
Original + -3-pitch -2-pitch 4-pitch,0.742,0.7,0.665
Original + -2-pitch 2-pitch 4-pitch,0.727,0.7,0.66
Original + -2-pitch 3-pitch 4-pitch,0.722,0.7,0.653
Original + 1.1-Speed 1.2-Speed,0.751,0.699,0.684
Original + -2-pitch -1-pitch 1-pitch 2-pitch,0.722,0.699,0.666
Original + -4-pitch -3-pitch -1-pitch 1-pitch 2-pitch,0.735,0.699,0.648
Original + -4-pitch -3-pitch 1-pitch,0.768,0.698,0.666
Original + -3-pitch -2-pitch 3-pitch,0.74,0.698,0.66
Original + -3-pitch -1-pitch 2-pitch,0.741,0.698,0.666
Original + -4-pitch -3-pitch -1-pitch 1-pitch,0.752,0.698,0.658
Original + -3-pitch -2-pitch 1-pitch 2-pitch,0.736,0.698,0.662
Original + -4-pitch 2-pitch,0.757,0.697,0.674
Original + -4-pitch 3-pitch,0.737,0.697,0.668
Original + -2-pitch 4-pitch,0.729,0.697,0.647
Original + -3-pitch -2-pitch 2-pitch,0.745,0.697,0.669
Original + -2-pitch 1-pitch 4-pitch,0.732,0.697,0.649
Original + -3-pitch -2-pitch -1-pitch 2-pitch,0.741,0.697,0.664
Original + -4-pitch -2-pitch -1-pitch,0.768,0.696,0.667
Original + -4-pitch -3-pitch -2-pitch 1-pitch,0.752,0.696,0.663
Original + -4-pitch -3-pitch -2-pitch -1-pitch 3-pitch,0.743,0.696,0.656
Original + -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch,0.733,0.696,0.655
Original + -2-pitch 2-pitch,0.728,0.695,0.688
Original + -3-pitch 1-pitch 2-pitch,0.742,0.695,0.678
Original + -2-pitch -1-pitch 4-pitch,0.732,0.694,0.654
Original + -1-pitch 2-pitch 3-pitch,0.728,0.694,0.644
Original + -4-pitch -3-pitch -2-pitch 2-pitch,0.747,0.694,0.659
Original + -4-pitch -3-pitch -1-pitch 2-pitch,0.747,0.694,0.654
Original + -4-pitch -3-pitch -1-pitch 3-pitch,0.742,0.694,0.667
Original + -3-pitch -2-pitch -1-pitch 3-pitch,0.743,0.694,0.676
