Augmented Data,RBF SVM,Naive Bayes,Neural Net
Original + 0.5-Speed,0.540,0.492,0.570
Original + 0.75-Speed,0.544,0.501,0.574
Original + 1.25-Speed,0.502,0.466,0.542
Original + 1.5-Speed,0.492,0.479,0.563
Original + 0.5-Speed 0.75-Speed,0.537,0.495,0.568
Original + 0.5-Speed 1.25-Speed,0.526,0.480,0.580
Original + 0.5-Speed 1.5-Speed,0.530,0.462,0.585
Original + 0.75-Speed 1.25-Speed,0.531,0.457,0.559
Original + 0.75-Speed 1.5-Speed,0.523,0.475,0.580
Original + 1.25-Speed 1.5-Speed,0.501,0.467,0.553
Original + 0.5-Speed 0.75-Speed 1.25-Speed,0.533,0.481,0.578
Original + 0.5-Speed 0.75-Speed 1.5-Speed,0.539,0.477,0.581
Original + 0.5-Speed 1.25-Speed 1.5-Speed,0.523,0.463,0.577
Original + 0.75-Speed 1.25-Speed 1.5-Speed,0.535,0.466,0.559
Original + 0.5-Speed 0.75-Speed 1.25-Speed 1.5-Speed,0.533,0.468,0.573
Original + -1-pitch,0.530,0.467,0.533
Original + -0.5-pitch,0.514,0.479,0.523
Original + 0.5-pitch,0.529,0.484,0.539
Original + 1-pitch,0.522,0.494,0.525
Original + -1-pitch -0.5-pitch,0.523,0.470,0.535
Original + -1-pitch 0.5-pitch,0.523,0.478,0.544
Original + -1-pitch 1-pitch,0.524,0.487,0.549
Original + -0.5-pitch 0.5-pitch,0.521,0.467,0.536
Original + -0.5-pitch 1-pitch,0.517,0.484,0.517
Original + 0.5-pitch 1-pitch,0.538,0.501,0.531
Original + -1-pitch -0.5-pitch 0.5-pitch,0.524,0.476,0.551
Original + -1-pitch -0.5-pitch 1-pitch,0.522,0.483,0.547
Original + -1-pitch 0.5-pitch 1-pitch,0.525,0.488,0.546
Original + -0.5-pitch 0.5-pitch 1-pitch,0.529,0.482,0.538
Original + -1-pitch -0.5-pitch 0.5-pitch 1-pitch,0.529,0.486,0.519
Original + noise,0.495,0.443,0.513
Original + inverted,0.520,0.494,0.539
Original + randomGain,0.532,0.497,0.540
