numMFCCs: 10,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.558 : 18.529,0.516 : 36.132,0.488 : 52.932,0.466 : 70.541,0.465 : 87.341,0.428 : 104.941,0.424 : 121.741,0.403 : 139.350
1024:,0.529 : 9.729,0.518 : 18.529,0.460 : 27.332,0.445 : 36.132,0.438 : 44.132,0.415 : 52.932,0.363 : 61.732,0.369 : 70.541
2048:,0.539 : 5.729,0.502 : 9.729,0.450 : 14.529,0.433 : 18.529,0.419 : 22.532,0.408 : 27.332,0.357 : 31.332,0.380 : 36.132
4096:,0.535 : 3.329,0.499 : 5.729,0.464 : 8.129,0.466 : 9.729,0.439 : 12.129,0.412 : 14.529,0.367 : 16.129,0.348 : 18.529
8192:,0.537 : 2.529,0.483 : 3.329,0.467 : 4.929,0.468 : 5.729,0.474 : 6.529,0.468 : 8.129,0.381 : 8.929,0.358 : 9.729


numMFCCs: 15,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.566 : 27.332,0.501 : 53.732,0.486 : 78.941,0.480 : 105.341,0.484 : 130.541,0.453 : 156.950,0.429 : 182.150,0.423 : 208.550
1024:,0.532 : 14.129,0.502 : 27.332,0.460 : 40.532,0.443 : 53.732,0.431 : 65.741,0.433 : 78.941,0.416 : 92.141,0.395 : 105.341
2048:,0.539 : 8.129,0.492 : 14.129,0.459 : 21.329,0.442 : 27.332,0.419 : 33.332,0.417 : 40.532,0.370 : 46.532,0.366 : 53.732
4096:,0.527 : 4.529,0.486 : 8.129,0.441 : 11.729,0.423 : 14.129,0.408 : 17.729,0.421 : 21.329,0.379 : 23.732,0.358 : 27.332
8192:,0.519 : 3.329,0.468 : 4.529,0.436 : 6.929,0.453 : 8.129,0.417 : 9.329,0.439 : 11.729,0.388 : 12.929,0.397 : 14.129


numMFCCs: 20,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.548 : 36.132,0.500 : 71.341,0.488 : 104.941,0.479 : 140.150,0.471 : 173.750,0.464 : 208.950,0.429 : 242.550,0.400 : 277.750
1024:,0.531 : 18.529,0.480 : 36.132,0.474 : 53.732,0.466 : 71.341,0.436 : 87.341,0.426 : 104.941,0.406 : 122.541,0.381 : 140.150
2048:,0.517 : 10.529,0.480 : 18.529,0.459 : 28.132,0.435 : 36.132,0.421 : 44.132,0.413 : 53.732,0.389 : 61.732,0.376 : 71.341
4096:,0.511 : 5.729,0.469 : 10.529,0.451 : 15.329,0.410 : 18.529,0.405 : 23.332,0.416 : 28.132,0.392 : 31.332,0.380 : 36.132
8192:,0.522 : 4.129,0.462 : 5.729,0.452 : 8.929,0.435 : 10.529,0.430 : 12.129,0.426 : 15.329,0.401 : 16.929,0.390 : 18.529


numMFCCs: 25,
FileLength,0.25,0.5,0.75,1,1.25,1.5,1.75,2
512:,0.541 : 44.932,0.486 : 88.941,0.482 : 130.941,0.457 : 174.950,0.455 : 216.950,0.454 : 260.950,0.415 : 302.950,0.395 : 346.950
1024:,0.518 : 22.932,0.475 : 44.932,0.462 : 66.941,0.456 : 88.941,0.442 : 108.941,0.440 : 130.941,0.419 : 152.950,0.412 : 174.950
2048:,0.491 : 12.929,0.460 : 22.932,0.447 : 34.932,0.445 : 44.932,0.442 : 54.932,0.408 : 66.941,0.385 : 76.941,0.402 : 88.941
4096:,0.507 : 6.929,0.435 : 12.929,0.426 : 18.929,0.423 : 22.932,0.435 : 28.932,0.438 : 34.932,0.397 : 38.932,0.376 : 44.932
