hopDivisions= 1,

numMFCCs= 10,
[],0.25,0.5,0.75,1,1.25,1.5
256:,0.693 | 16.677,0.806 | 32.040,0.771 | 48.040,0.694 | 63.400,0.694 | 79.409,0.692 | 94.769
512:,0.752 | 8.997,0.869 | 16.677,0.833 | 24.360,0.727 | 32.040,0.728 | 40.360,0.726 | 48.040
1024:,0.758 | 5.157,0.864 | 8.997,0.818 | 12.837,0.719 | 16.677,0.720 | 20.520,0.719 | 24.360
2048:,0.763 | 3.237,0.860 | 5.157,0.807 | 7.077,0.711 | 8.997,0.715 | 10.917,0.714 | 12.837
4096:,0.691 | 1.957,0.851 | 3.237,0.800 | 3.877,0.711 | 5.157,0.709 | 5.797,0.710 | 7.077

numMFCCs= 15,
[],0.25,0.5,0.75,1,1.25,1.5
256:,0.719 | 24.680,0.810 | 47.720,0.768 | 71.729,0.690 | 94.769,0.690 | 118.769,0.688 | 141.818
512:,0.768 | 13.157,0.863 | 24.680,0.830 | 36.200,0.729 | 47.720,0.728 | 60.200,0.730 | 71.729
1024:,0.771 | 7.397,0.858 | 13.157,0.813 | 18.920,0.711 | 24.680,0.712 | 30.440,0.713 | 36.200
2048:,0.770 | 4.517,0.855 | 7.397,0.803 | 10.277,0.700 | 13.157,0.701 | 16.037,0.703 | 18.920
4096:,0.713 | 2.597,0.854 | 4.517,0.796 | 5.477,0.702 | 7.397,0.702 | 8.357,0.702 | 10.277

numMFCCs= 20,
[],0.25,0.5,0.75,1,1.25,1.5
256:,0.720 | 32.680,0.802 | 63.400,0.762 | 95.409,0.681 | 126.129,0.680 | 158.138,0.681 | 188.858
512:,0.774 | 17.320,0.851 | 32.680,0.815 | 48.040,0.707 | 63.400,0.708 | 80.049,0.711 | 95.409
1024:,0.773 | 9.637,0.845 | 17.320,0.792 | 25.000,0.685 | 32.680,0.688 | 40.360,0.687 | 48.040
2048:,0.775 | 5.797,0.843 | 9.637,0.780 | 13.477,0.675 | 17.320,0.676 | 21.160,0.675 | 25.000
4096:,0.721 | 3.237,0.848 | 5.797,0.778 | 7.077,0.676 | 9.637,0.676 | 10.917,0.675 | 13.477

numMFCCs= 25,
[],0.25,0.5,0.75,1,1.25,1.5
256:,0.715 | 40.680,0.794 | 79.089,0.760 | 119.089,0.675 | 157.498,0.675 | 197.498,0.674 | 235.898
512:,0.767 | 21.480,0.840 | 40.680,0.803 | 59.880,0.696 | 79.089,0.698 | 99.889,0.700 | 119.089
1024:,0.770 | 11.877,0.829 | 21.480,0.775 | 31.080,0.669 | 40.680,0.671 | 50.280,0.671 | 59.880
2048:,0.768 | 7.077,0.829 | 11.877,0.763 | 16.677,0.657 | 21.480,0.659 | 26.280,0.660 | 31.080
4096:,0.717 | 3.877,0.836 | 7.077,0.763 | 8.677,0.658 | 11.877,0.657 | 13.477,0.660 | 16.677

numMFCCs= 30,
[],0.25,0.5,0.75,1,1.25,1.5
256:,0.714 | 48.680,0.792 | 94.769,0.758 | 142.778,0.678 | 188.858,0.677 | 236.858,0.674 | 282.938
512:,0.758 | 25.640,0.828 | 48.680,0.792 | 71.729,0.689 | 94.769,0.691 | 119.729,0.691 | 142.778
1024:,0.759 | 14.117,0.813 | 25.640,0.761 | 37.160,0.659 | 48.680,0.661 | 60.200,0.662 | 71.729
2048:,0.763 | 8.357,0.814 | 14.117,0.748 | 19.880,0.646 | 25.640,0.645 | 31.400,0.645 | 37.160
4096:,0.707 | 4.517,0.828 | 8.357,0.753 | 10.277,0.646 | 14.117,0.645 | 16.037,0.647 | 19.880



